,trial_id,discovery_date,title,summary,link,published_date,source,relevant,Sources__source_id,Sources__name,Sources__link
0,549142,2023-08-02 12:40:50.000000,"Development, Reliability and Validity of the Telerehabilitation Usability Questionnaire- TrUQ",<b>Condition</b>:    Neurological Disease<br /><b>Intervention</b>:    Other: Development of the Telerehabilitation Usability Questionnaire<br /><b>Sponsor</b>:    Gazi University<br /><b>Not yet recruiting</b>,http://classic.clinicaltrials.gov/ct2/show/NCT05970939?cond=Multiple+Sclerosis&sfpd_d=14&sel_rss=new14,2023-08-02 16:00:00.000000,12,,12,Clinical Trials.gov,https://clinicaltrials.gov/ct2/results/rss.xml?rcv_d=14&lup_d=&sel_rss=new14&cond=Multiple+Sclerosis&count=10000
1,548852,2023-07-31 16:20:47.742577,Impact of the Cionic Neural Sleeve on Mobility in Multiple Sclerosis,"<b>Conditions</b>:    Multiple Sclerosis;   Multiple Sclerosis, Relapsing-Remitting;   Multiple Sclerosis, Chronic Progressive<br /><b>Interventions</b>:    Device: Cionic Neural Sleeve NS-100;   Device: Actigraph accelerometer<br /><b>Sponsor</b>:    Cionic, Inc.<br /><b>Recruiting</b>",https://clinicaltrials.gov/ct2/show/NCT05964829,2023-07-18 00:00:00.000000,17,,17,WHO XML import,https://trialsearch.who.int/
2,548149,2023-07-27 13:50:48.271892,Investigation The Effect of Conventional Vs. Individualized tDCS Intensity to Achieve Uniform E-Fields,<b>Conditions</b>:    Multiple Sclerosis;   Neurophysiologic Abnormality<br /><b>Intervention</b>:    Device: Transcranial direct current stimulation (tDCS)<br /><b>Sponsors</b>:    Koen Cuypers;   BOF-BILA<br /><b>Not yet recruiting</b>,https://clinicaltrials.gov/ct2/show/NCT05962281,2023-02-06 00:00:00.000000,17,,17,WHO XML import,https://trialsearch.who.int/
3,548148,2023-07-27 13:50:48.231152,Cladribine vs Placebo for Non-active Progressive Multiple Sclerosis (CLASP-MS).,"<b>Conditions</b>:    Multiple Sclerosis, Secondary Progressive;   Multiple Sclerosis<br /><b>Interventions</b>:    Drug: Cladribine Subcutaneous Injection;   Drug: 0.9% Chloride Injection Sodium<br /><b>Sponsors</b>:    Institute of Psychiatry and Neurology, Warsaw;   Nalecz Institute of Biocybernetics and Biomedical Engineering, Polish Academy of Sciences;   Mossakowski Medical Research Centre Polish Academy of Sciences;   Poznan University of Medical Sciences;   Military Institute of Aviation Medicine<br /><b>Recruiting</b>",https://clinicaltrials.gov/ct2/show/NCT05961644,2023-07-18 00:00:00.000000,17,,17,WHO XML import,https://trialsearch.who.int/
4,548147,2023-07-27 13:50:48.188463,Montpellier PROspective Cohort in Relapsing Remitting Multiple Sclerosis Using Imaging and Serologic,"<b>Condition</b>:    Multiple Sclerosis<br /><b>Interventions</b>:    Other: Magnetic Resonance Imaging;   Other: Blood withdrawal;   Other: Neuropsychological tests<br /><b>Sponsor</b>:    University Hospital, Montpellier<br /><b>Not yet recruiting</b>",https://clinicaltrials.gov/ct2/show/NCT05962177,2023-06-15 00:00:00.000000,17,,17,WHO XML import,https://trialsearch.who.int/
5,547537,2023-07-24 14:20:46.038680,Effects of Antiviral Therapies on Epstein-Barr Virus Replication,<b>Condition</b>:    Multiple Sclerosis<br /><b>Intervention</b>:    Drug: Truvada (tenofovir/emtricitabine)<br /><b>Sponsors</b>:    Massachusetts General Hospital;   Solving MS<br /><b>Enrolling by invitation</b>,https://clinicaltrials.gov/ct2/show/NCT05957913,2023-06-28 00:00:00.000000,17,,17,WHO XML import,https://trialsearch.who.int/
6,547536,2023-07-24 14:20:46.022891,Treatment of Cognitive Deficits in Multiple Sclerosis With High-Definition Transcranial Direct Current Stimulation,"<b>Condition</b>:    Multiple Sclerosis, Relapsing-Remitting<br /><b>Interventions</b>:    Device: Transcranial Direct Current Stimulation;   Device: Sham transcranial direct current stimulation<br /><b>Sponsors</b>:    The University of Texas at Dallas;   University of Texas Southwestern Medical Center<br /><b>Not yet recruiting</b>",https://clinicaltrials.gov/ct2/show/NCT05958381,2023-07-14 00:00:00.000000,17,,17,WHO XML import,https://trialsearch.who.int/
7,547535,2023-07-24 14:20:45.959256,Structured Exercise Training in Newly Diagnosed Multiple Sclerosis,<b>Condition</b>:    Multiple Sclerosis<br /><b>Intervention</b>:    Other: Structured exercise training<br /><b>Sponsor</b>:    Istanbul University - Cerrahpasa (IUC)<br /><b>Not yet recruiting</b>,https://clinicaltrials.gov/ct2/show/NCT05957809,2023-06-20 00:00:00.000000,17,,17,WHO XML import,https://trialsearch.who.int/
8,546901,2023-07-21 13:40:44.879338,Effectiveness of Dry Needling for Improving Gait in the Patient With Multiple Sclerosis,<b>Condition</b>:    Multiple Sclerosis<br /><b>Interventions</b>:    Device: dry needling + physiotherapy (standard/usual care);   Other: sham dry needling + physiotherapy (standard/usual care)<br /><b>Sponsor</b>:    Hospital Universitario de Canarias<br /><b>Recruiting</b>,https://clinicaltrials.gov/ct2/show/NCT05956119,2023-11-07 00:00:00.000000,17,,17,WHO XML import,https://trialsearch.who.int/
9,546610,2023-07-20 15:30:48.418581,Meeting an Unmet Need in Multiple Sclerosis,<b>Condition</b>:    Multiple Sclerosis<br /><b>Intervention</b>:    Behavioral: Unified Protocol<br /><b>Sponsor</b>:    Kessler Foundation<br /><b>Recruiting</b>,https://clinicaltrials.gov/ct2/show/NCT05953519,2023-12-04 00:00:00.000000,17,,17,WHO XML import,https://trialsearch.who.int/
10,546609,2023-07-20 15:30:48.391573,Effect of High Intensity Interval Training in Patients With Multiple Sclerosis,<b>Condition</b>:    Multiple Sclerosis<br /><b>Intervention</b>:    Other: high intensity interval training<br /><b>Sponsor</b>:    Cairo University<br /><b>Recruiting</b>,https://clinicaltrials.gov/ct2/show/NCT05954195,2023-12-07 00:00:00.000000,17,,17,WHO XML import,https://trialsearch.who.int/
